p_rel	Q_cm3_per_g_STP
0.00722	6.63594
0.03249	8.84793
0.06498	9.95392
0.09386	10.5069
0.13357	11.0599
0.16246	11.6129
0.20939	12.1659
0.24549	12.7189
0.28881	13.2719
0.32130	14.3779
0.36462	15.4839
0.40433	16.0369
0.46570	17.1429
0.50181	17.6959
0.54152	18.8018
0.59206	19.9078
0.64982	21.5668
0.68953	23.2258
0.71480	23.7788
0.74368	24.8848
0.78700	27.0968
0.81950	29.3088
0.85921	32.6267
0.87726	34.8387
0.90253	38.1567
0.91697	41.4747
0.92419	44.2396
0.93502	48.1106
0.94585	50.8756
0.95307	54.7465
0.96390	63.0415
0.97112	73.5484
0.98195	97.8802
0.98917	120.552
	